Location_ID,Sensor_Description,Sensor_Name,Installation_Date,Note,Location_Type,Status,Direction_1,Direction_2,Latitude,Longitude,Location
24,Spencer St-Collins St (North),Col620_T,2013-09-02,,Outdoor,A,East,West,-37.81887963,144.95449198,"-37.81887963, 144.95449198"
25,Melbourne Convention Exhibition Centre,MCEC_T,2013-08-28,,Outdoor,A,East,West,-37.82401776,144.95604426,"-37.82401776, 144.95604426"
36,Queen St (West),Que85_T,2015-01-20,"Pushbox Upgrade, 03/08/2023",Outdoor,A,North,South,-37.81652527,144.96121062,"-37.81652527, 144.96121062"
37,Lygon St (East),Lyg260_T,2015-02-11,"Pushbox Upgrade, 30/06/2023",Outdoor,A,North,South,-37.80310271,144.96671451,"-37.80310271, 144.96671451"
41,Flinders La-Swanston St (West),Swa31,2017-06-29,,Outdoor,A,North,South,-37.81668634,144.96689733,"-37.81668634, 144.96689733"
45,Little Collins St-Swanston St (East),Swa148_T,2017-06-29,"Pushbox Upgrade, 03/08/2023",Outdoor,A,North,South,-37.81414075,144.96609379,"-37.81414075, 144.96609379"
46,Pelham St (South),Pel147_T,2017-07-10,,Outdoor,A,East,West,-37.80240719,144.9615673,"-37.80240719, 144.9615673"
49,QVM-Therry St (South),Eli501_T,2017-11-29,"Pushbox Upgrade, 20/07/2023",Outdoor,A,East,West,-37.80730068,144.95956055,"-37.80730068, 144.95956055"
50,Faraday St-Lygon St (West),Lyg309_T,2017-11-30,"Pushbox Upgrade, 25/07/2023",Outdoor,A,North,South,-37.79808192,144.96721013,"-37.79808192, 144.96721013"
52,Elizabeth St-Lonsdale St (South),Eli263_T,2017-07-31,"Pushbox Upgrade, 25/07/2023",Outdoor,A,East,West,-37.81252157,144.9619401,"-37.81252157, 144.9619401"
56,Lonsdale St - Elizabeth St (North),Lon364_T,2018-07-25,,Outdoor,A,East,West,-37.81234775,144.96153311,"-37.81234775, 144.96153311"
65,Swanston St - City Square,SwaCs_T,2020-03-12,,Outdoor,A,North,South,-37.81569416,144.9668064,"-37.81569416, 144.9668064"
66,State Library - New,QVN_T,2020-04-06,,Outdoor,A,North,South,-37.81057846,144.96444294,"-37.81057846, 144.96444294"
67,Flinders Ln -Degraves St (South),FLDegS_T,2020-06-03,,Outdoor,A,East,West,-37.81688755,144.96562569,"-37.81688755, 144.96562569"
68,Flinders Ln -Degraves St (North),FLDegN_T,2020-06-03,,Outdoor,A,East,West,-37.8168479,144.96559789,"-37.8168479, 144.96559789"
70,Errol Street (East),Errol20_T,2020-10-12,,Outdoor,A,North,South,-37.80456984,144.94946228,"-37.80456984, 144.94946228"
75,Spring St- Flinders st (West),SprFli_T,2020-12-18,,Outdoor,A,North,South,-37.81515276,144.97467661,"-37.81515276, 144.97467661"
