births_2017_18, natural_increase_2020_21, births_2020_21, births_2016_17, state_name_2021, net_internal_migration_2019_20, deaths_2018_19, internal_departures_2018_19, natural_increase_2018_19, overseas_departures_2018_19, natural_increase_2017_18, overseas_departures_2017_18, lga_name_2021, internal_arrivals_2017_18, overseas_departures_2020_21, deaths_2017_18, internal_arrivals_2016_17, lga_code_2021, net_overseas_migration_2019_20, internal_departures_2016_17, deaths_2016_17, erp_2017, erp_2018, erp_2019, net_internal_migration_2017_18, erp_2021, erp_2020, erp_change_per_cent_2020_21, net_overseas_migration_2016_17, overseas_arrivals_2020_21, net_internal_migration_2018_19, overseas_arrivals_2016_17, net_overseas_migration_2018_19, overseas_arrivals_2017_18, area_km2, net_internal_migration_2020_21, overseas_arrivals_2019_20, erp_2008, erp_2009, erp_2006, erp_2007, net_internal_migration_2016_17, births_2019_20, erp_2012, erp_2011, erp_2010, internal_departures_2019_20, erp_2016, deaths_2020_21, erp_2015, erp_2014, erp_2013, internal_departures_2020_21, erp_change_number_2020_21, internal_arrivals_2019_20, overseas_arrivals_2018_19, overseas_departures_2019_20, internal_departures_2017_18, deaths_2019_20, state_code_2021, natural_increase_2016_17, pop_density_2021_people_per_km2, net_overseas_migration_2020_21, overseas_departures_2016_17, primaryindex, erp_2001, erp_2003, erp_2002, erp_2005, erp_2004, internal_arrivals_2020_21, internal_arrivals_2018_19, net_overseas_migration_2017_18, natural_increase_2019_20, births_2018_19
1603,432,1297,1570,"Victoria",-1198,920,10156,565,1064,742,948,"Banyule",8966,1038,861,8479,"20660",932,8862,844,129115,130250,131640,-922,129387,131895,-1.90149998664856,1325,353,-492,2176,1317,2263,62.5401992797852,-2255,2129,120580,122248,117963,119362,-383,1459,123584,122983,122780,9835,127447,865,126088,125107,124314,11131,-2508,8637,2381,1197,9888,938,2,726,2068.861328125,-685,851,133,117967,117313,117559,117149,116661,8876,9664,1315,521,1485
905,-60,767,914,"Victoria",-54,778,7327,113,1529,153,1386,"Bayside (Vic.)",7261,1514,752,6617,"20910",714,6438,784,104282,105745,106856,278,105580,107516,-1.80069994926453,1061,387,-17,2318,1015,2418,37.2111015319824,-749,2279,93535,94850,90807,92041,179,805,96971,96119,95594,6866,102912,827,101268,99797,98252,8303,-1936,6812,2544,1565,6983,805,2,130,2837.32543945312,-1127,1257,136,88262,89088,88717,89873,89394,7554,7310,1032,0,891
1414,210,1200,1529,"Victoria",-2134,1050,13913,351,4399,296,4011,"Boroondara",12781,4439,1118,11906,"21110",1682,12583,1116,179677,181376,183197,-1068,176632,182974,-3.46609997749329,2665,1023,-947,6292,2417,6482,60.1776008605957,-3136,6102,163408,165284,159605,161308,-677,1306,168483,167062,166326,13929,177276,990,174753,172660,170485,15918,-6342,11795,6816,4420,13849,1077,2,413,2935.17846679688,-3416,3627,138,156246,157298,156886,158727,157885,12782,12966,2471,229,1401
1990,581,1658,2015,"Victoria",-1003,1036,13789,914,2457,944,2203,"Darebin",12021,2379,1046,11130,"21890",2308,11697,1072,158751,161653,164224,-1198,162501,166356,-2.31730008125305,3249,847,-1504,5292,3161,5359,53.4711990356445,-2904,5069,137525,140289,132299,134748,-567,1831,144986,142942,141780,12971,155126,1077,151974,149511,147272,14991,-3855,11968,5618,2761,13219,1004,2,943,3039.03784179688,-1532,2043,147,127067,127711,127359,130298,128735,12087,12285,3156,827,1950
1673,642,1568,1852,"Victoria",-977,935,12156,723,3133,711,2817,"Glen Eira",10810,3151,962,9456,"22310",1920,10657,942,151457,153920,156535,-1097,155123,158149,-1.91340005397797,3165,870,-871,5682,2763,5666,38.6907997131348,-1387,5244,132900,135414,128474,130524,-1201,1589,139116,137152,136515,11745,148583,926,145924,143694,141260,13302,-3026,10768,5896,3324,11907,918,2,910,4009.29931640625,-2281,2517,151,122346,123816,123197,126485,125037,11915,11285,2849,671,1658
1281,477,1103,1329,"Victoria",-1034,622,7702,673,843,697,756,"Hobsons Bay",6840,812,584,6251,"23110",807,6528,633,95071,96481,97765,-422,96317,98146,-1.86360001564026,1207,290,-508,1889,1119,1891,64.2405014038086,-1784,1758,85513,86767,83906,84819,-277,1221,88339,87395,87192,7714,93445,626,91674,90417,89188,8481,-1829,6680,1962,951,7262,613,2,696,1499.31896972656,-522,682,160,82854,83107,83124,82990,82668,6697,7194,1135,608,1295
1347,687,1126,1376,"Victoria",-834,495,8897,827,1478,865,1306,"Maribyrnong",7932,1434,482,7143,"24330",1513,7825,467,89362,91413,93482,-949,93467,94928,-1.53910005092621,2193,556,-886,3378,2128,3441,31.2257995605469,-1270,3225,69902,71872,65518,67666,-682,1254,77179,75154,73613,8824,86942,439,84783,82463,79782,9805,-1461,7990,3606,1712,8881,487,2,909,2993.26196289062,-878,1185,171,60848,62516,61557,64137,63168,8535,8011,2135,767,1322
1260,728,1167,1208,"Victoria",-1316,428,16871,847,16591,891,15126,"Melbourne",17696,17167,369,13806,"24600",5223,11982,386,159141,170317,178994,1047,169860,183628,-7.49779987335205,10399,3588,-800,25121,8630,24364,37.5452003479004,-917,21842,89937,94247,80154,85366,1824,1219,107578,100240,97623,16802,146096,439,136872,127975,118711,18382,-13768,15486,25221,16619,16649,492,2,822,4524.14697265625,-13579,14722,173,55398,65954,60415,76034,71425,17465,16071,9238,727,1275
1421,381,1196,1479,"Victoria",-427,761,9636,614,1360,661,1207,"Moonee Valley",9101,1334,760,8330,"25060",1255,8413,704,125411,127906,130313,52,129379,131702,-1.76380002498627,1848,476,31,2933,1762,2989,43.1384010314941,-1846,2795,108417,110367,105717,106716,-83,1359,113673,112180,111363,9495,122871,815,120231,117763,115464,11124,-2323,9068,3122,1540,9049,798,2,775,2999.16088867188,-858,1085,179,104793,104629,104856,105059,104632,9278,9667,1782,561,1375
2562,1016,2184,2505,"Victoria",-1009,1132,15747,1363,3129,1384,2792,"Moreland",14697,3058,1178,13076,"25250",2549,13478,1189,176974,181780,185811,-194,184707,188660,-2.09529995918274,3766,1035,-925,6298,3593,6408,50.9522018432617,-2946,6013,146450,150114,140872,143694,-402,2451,156967,154247,152261,15559,172294,1168,167870,164099,160282,18191,-3953,14550,6722,3464,14891,1142,2,1316,3625.103515625,-2023,2532,181,135540,136630,136156,138963,137642,15245,14822,3616,1309,2495
